项目指令,用户名称,,country,province,city,district,formatted_address,level,location
T6C46,金华华川热电,,中国,浙江省,金华市,暂无数据,浙江省金华市,市,"119.647444,29.079059"
T6C37/38,大庆石化,,中国,黑龙江省,大庆市,暂无数据,黑龙江省大庆市,市,"125.103784,46.589309"
T5221/22,京能吕临电厂,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T5591/92,华电江陵电厂,,中国,湖北省,荆州市,江陵县,湖北省荆州市江陵县江陵电厂,兴趣点,"112.317062,30.088366"
C211D-1,三亚基地,,中国,海南省,三亚市,天涯区,海南省三亚市天涯区三亚基地,兴趣点,"109.496536,18.230170"
T5652/53,山西潞光发电,,中国,山西省,暂无数据,暂无数据,山西省,省,"112.562398,37.873531"
T6A38,新疆信汇清洁能源,,中国,新疆维吾尔自治区,暂无数据,暂无数据,新疆维吾尔自治区,省,"87.627704,43.793026"
T6A86,浙江石化,,中国,浙江省,杭州市,上城区,浙江省杭州市上城区石化,兴趣点,"120.192453,30.231782"
T5987,浙江石化,,中国,浙江省,杭州市,上城区,浙江省杭州市上城区石化,兴趣点,"120.192453,30.231782"
T6A50,江苏斯尔邦,,中国,江苏省,暂无数据,暂无数据,江苏省,省,"118.763232,32.061707"
T6C72,陕西延长石油,,中国,陕西省,延安市,宝塔区,陕西省延安市宝塔区延长石油,兴趣点,"109.441665,36.620310"
T8553,荆门石化,,中国,湖北省,荆门市,钟祥市,湖北省荆门市钟祥市石化,兴趣点,"112.598700,31.150500"
G0017,天铁,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T5584,新疆和山巨力,,中国,新疆维吾尔自治区,暂无数据,暂无数据,新疆维吾尔自治区,省,"87.627704,43.793026"
T5824,沐阳热电,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T5910,兰溪协鑫,,中国,浙江省,金华市,兰溪市,浙江省金华市兰溪市兰溪,兴趣点,"119.468317,29.209004"
T5998,山东泰和水处理科技有限公司,,中国,山东省,济南市,天桥区,山东省济南市天桥区蓝康水处理,兴趣点,"116.963647,36.703735"
T6A62,海南炼化,,中国,海南省,暂无数据,暂无数据,海南省,省,"110.349228,20.017377"
T6B31,安吉中策橡胶,,中国,浙江省,湖州市,安吉县,浙江省湖州市安吉县中策橡胶,兴趣点,"119.758173,30.815077"
T5794,南阳发电,,中国,河南省,南阳市,暂无数据,河南省南阳市,市,"112.528321,32.990833"
T6C67,浙江新嘉爱斯,,中国,浙江省,暂无数据,暂无数据,浙江省,省,"120.152791,30.267446"
T5883,浙江石化,,中国,浙江省,杭州市,上城区,浙江省杭州市上城区石化,兴趣点,"120.192453,30.231782"
C217,青岛基地,,中国,山东省,青岛市,城阳区,山东省青岛市城阳区青岛基地,兴趣点,"120.272916,36.270439"
T6C87,泸州老窖,,中国,四川省,泸州市,龙马潭区,四川省泸州市龙马潭区泸州老窖,兴趣点,"105.443757,28.895981"
T5710,黄冈大别山电厂,,中国,湖北省,黄冈市,罗田县,湖北省黄冈市罗田县大别山,村庄,"115.775193,31.103063"
T6A79,延长石油,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
N0006/0007,福清核电,,中国,福建省,福州市,福清市,福建省福州市福清市核电,兴趣点,"119.456623,25.447262"
T6B02/03/05/87,内蒙荣信,,中国,内蒙古自治区,暂无数据,暂无数据,内蒙古自治区,省,"111.765617,40.817498"
T5511,重庆万盛,,中国,重庆市,重庆市,暂无数据,重庆市,省,"106.551556,29.563009"
T6C29,钟祥凯龙四合一,,中国,湖北省,荆门市,钟祥市,湖北省荆门市钟祥市钟祥,兴趣点,"112.586503,31.167503"
T5478,厦门中禾,,中国,福建省,厦门市,暂无数据,福建省厦门市,市,"118.089425,24.479833"
T6A64,嘉兴平湖热电,,中国,浙江省,嘉兴市,平湖市,浙江省嘉兴市平湖市平湖,兴趣点,"121.104062,30.605500"
T6D33,甘肃玉门炼化,,中国,甘肃省,暂无数据,暂无数据,甘肃省,省,"103.826308,36.059421"
T5589-2/90-2,新疆五彩湾,,中国,新疆维吾尔自治区,乌鲁木齐市,乌鲁木齐县,新疆维吾尔自治区乌鲁木齐市乌鲁木齐县五彩湾,兴趣点,"86.839281,43.117182"
WT6A47,中科湛江,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T8250,建德建业,,中国,浙江省,杭州市,建德市,浙江省杭州市建德市建德,兴趣点,"119.231740,29.361498"
T8755,华能伊春热电,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T5931,黑龙江宇翔热电,,中国,黑龙江省,暂无数据,暂无数据,黑龙江省,省,"126.661669,45.742347"
T6D15,绍兴春晖环保,,中国,浙江省,绍兴市,上虞区,浙江省绍兴市上虞区春晖环保能源公司,兴趣点,"120.846980,30.127539"
T5076,江苏斯尔邦,,中国,江苏省,暂无数据,暂无数据,江苏省,省,"118.763232,32.061707"
T5980/81,甘肃电投长乐电厂,,中国,甘肃省,暂无数据,暂无数据,甘肃省,省,"103.826308,36.059421"
T6B07,烟台万华,,中国,山东省,烟台市,暂无数据,山东省烟台市,市,"121.447935,37.463822"
T6A77/78,延长石油,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
G1003/1004,广西中马协鑫,,中国,广西壮族自治区,暂无数据,暂无数据,广西壮族自治区,省,"108.327546,22.815478"
T8781/82/83/84,华北石化,,中国,江苏省,扬州市,仪征市,江苏省扬州市仪征市华北,村庄,"119.149887,32.327209"
T5253,江苏华和热电,,中国,江苏省,暂无数据,暂无数据,江苏省,省,"118.763232,32.061707"
WT5506,伊朗项目,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T5935/36/37/38,浙江石化,,中国,浙江省,杭州市,上城区,浙江省杭州市上城区石化,兴趣点,"120.192453,30.231782"
T5387,国电蚌埠电厂,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T6B67,宁夏宝丰,,中国,宁夏回族自治区,暂无数据,暂无数据,宁夏回族自治区,省,"106.258754,38.471317"
T6A00,酒泉钢铁,,中国,甘肃省,酒泉市,暂无数据,甘肃省酒泉市,市,"98.494483,39.732410"
T6C02,山东诸城华源热电,,中国,山东省,潍坊市,诸城市,山东省潍坊市诸城市,区县,"119.410103,35.995654"
T6B88/89/90,大连恒力,,中国,辽宁省,大连市,暂无数据,辽宁省大连市,市,"121.614682,38.914003"
T6A29,陕鼓集团,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T8330,武汉乙烯,,中国,湖北省,武汉市,暂无数据,湖北省武汉市,市,"114.305392,30.593098"
T6B14,兖矿榆林,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T5031-1/-2,华能魏家峁电厂,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T5032-1/-2,unKnow,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T6B65/66,宁夏宝丰,,中国,宁夏回族自治区,暂无数据,暂无数据,宁夏回族自治区,省,"106.258754,38.471317"
T8648,内蒙庆华,,中国,内蒙古自治区,暂无数据,暂无数据,内蒙古自治区,省,"111.765617,40.817498"
T5947,浙江石化,,中国,浙江省,杭州市,上城区,浙江省杭州市上城区石化,兴趣点,"120.192453,30.231782"
C220-2/C221-2,葫芦岛431厂,,中国,辽宁省,葫芦岛市,暂无数据,辽宁省葫芦岛市,市,"120.836932,40.711052"
T6B41,黑龙江新和成热电,,中国,黑龙江省,暂无数据,暂无数据,黑龙江省,省,"126.661669,45.742347"
T5222,京能吕临电厂,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
WT5617/18,印尼青山,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T6B66,宁夏宝丰,,中国,宁夏回族自治区,暂无数据,暂无数据,宁夏回族自治区,省,"106.258754,38.471317"
T6C62,兰州石化,,中国,甘肃省,兰州市,西固区,甘肃省兰州市西固区石化,兴趣点,"103.621123,36.093968"
T5975,盈泰纺织品染整有限公司,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T6B11,unKnow,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
G0017/18,荆门绿动,,中国,湖北省,荆门市,暂无数据,湖北省荆门市,市,"112.199265,31.035423"
T5068,山东昆达热电,,中国,山东省,暂无数据,暂无数据,山东省,省,"117.020359,36.668530"
T6A82/83/84,中化泉州,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T5664/65/66/67,国电兰州电厂,,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
T6A75,镇海炼化,,中国,浙江省,宁波市,镇海区,浙江省宁波市镇海区镇海,兴趣点,"121.592198,29.957395"
T6B06,烟台万华,,中国,山东省,烟台市,暂无数据,山东省烟台市,市,"121.447935,37.463822"
T6B50,宁波大榭石化,,中国,浙江省,宁波市,北仑区,浙江省宁波市北仑区大榭石化,兴趣点,"121.952729,29.894299"
